,Reservoir_Capacity,Reservoir_Level,Reserve_Percent,Current_Month,Number_of_Years,simulation,subset,run,substep,timestep
0,73000,0.0,0.0,0,0,0,0,1,0,0
1,73000,72.4,0.1,1,0,0,0,1,1,1
2,73000,117.20000000000002,0.1,2,0,0,0,1,1,2
3,73000,157.8,0.1,3,0,0,0,1,1,3
4,73000,200.5,0.1,4,0,0,0,1,1,4
5,73000,250.8,0.1,5,0,0,0,1,1,5
6,73000,359.20000000000005,0.1,6,0,0,0,1,1,6
7,73000,858.1000000000001,0.1,7,0,0,0,1,1,7
8,73000,2381.8,0.1,8,0,0,0,1,1,8
9,73000,3744.3,0.1,9,0,0,0,1,1,9
10,73000,4457.3,0.1,10,0,0,0,1,1,10
11,73000,4702.400000000001,0.1,11,0,0,0,1,1,11
12,73000,4828.1,0.1,0,1,0,0,1,1,12
13,73000,4900.5,0.1,1,1,0,0,1,1,13
14,73000,4945.3,0.1,2,1,0,0,1,1,14
15,73000,4985.900000000001,0.1,3,1,0,0,1,1,15
16,73000,5028.6,0.1,4,1,0,0,1,1,16
17,73000,5078.900000000001,0.1,5,1,0,0,1,1,17
18,73000,5187.3,0.1,6,1,0,0,1,1,18
19,73000,5686.2,0.1,7,1,0,0,1,1,19
20,73000,7209.9,0.1,8,1,0,0,1,1,20
21,73000,8572.4,0.1,9,1,0,0,1,1,21
22,73000,9285.4,0.1,10,1,0,0,1,1,22
23,73000,9530.5,0.1,11,1,0,0,1,1,23
24,73000,9656.2,0.1,0,2,0,0,1,1,24
25,73000,9728.6,0.1,1,2,0,0,1,1,25
26,73000,9773.4,0.1,2,2,0,0,1,1,26
27,73000,9814.0,0.1,3,2,0,0,1,1,27
28,73000,9856.7,0.1,4,2,0,0,1,1,28
29,73000,9907.0,0.1,5,2,0,0,1,1,29
30,73000,10015.4,0.1,6,2,0,0,1,1,30
31,73000,10514.3,0.1,7,2,0,0,1,1,31
32,73000,12038.0,0.1,8,2,0,0,1,1,32
33,73000,13400.5,0.1,9,2,0,0,1,1,33
34,73000,14113.5,0.1,10,2,0,0,1,1,34
35,73000,14358.6,0.1,11,2,0,0,1,1,35
36,73000,14484.300000000001,0.1,0,3,0,0,1,1,36
37,73000,14556.7,0.1,1,3,0,0,1,1,37
38,73000,14601.5,0.1,2,3,0,0,1,1,38
39,73000,14642.1,0.1,3,3,0,0,1,1,39
40,73000,14684.800000000001,0.1,4,3,0,0,1,1,40
41,73000,14735.1,0.1,5,3,0,0,1,1,41
42,73000,14843.5,0.1,6,3,0,0,1,1,42
43,73000,15342.4,0.1,7,3,0,0,1,1,43
44,73000,16866.1,0.1,8,3,0,0,1,1,44
45,73000,18228.6,0.1,9,3,0,0,1,1,45
46,73000,18941.6,0.1,10,3,0,0,1,1,46
47,73000,19186.699999999997,0.1,11,3,0,0,1,1,47
48,73000,19312.399999999998,0.1,0,4,0,0,1,1,48
49,73000,19384.8,0.1,1,4,0,0,1,1,49
50,73000,19429.6,0.1,2,4,0,0,1,1,50
51,73000,19470.199999999997,0.1,3,4,0,0,1,1,51
52,73000,19512.899999999998,0.1,4,4,0,0,1,1,52
53,73000,19563.199999999997,0.1,5,4,0,0,1,1,53
54,73000,19671.6,0.1,6,4,0,0,1,1,54
55,73000,20170.5,0.1,7,4,0,0,1,1,55
56,73000,21694.2,0.1,8,4,0,0,1,1,56
57,73000,23056.7,0.1,9,4,0,0,1,1,57
58,73000,23769.7,0.1,10,4,0,0,1,1,58
59,73000,24014.8,0.1,11,4,0,0,1,1,59
60,73000,24140.5,0.1,0,5,0,0,1,1,60
61,73000,24212.9,0.1,1,5,0,0,1,1,61
62,73000,24257.7,0.1,2,5,0,0,1,1,62
63,73000,24298.3,0.1,3,5,0,0,1,1,63
64,73000,24341.0,0.1,4,5,0,0,1,1,64
65,73000,24391.3,0.1,5,5,0,0,1,1,65
66,73000,24499.7,0.1,6,5,0,0,1,1,66
67,73000,24998.600000000002,0.1,7,5,0,0,1,1,67
68,73000,26522.300000000003,0.1,8,5,0,0,1,1,68
69,73000,27884.800000000003,0.1,9,5,0,0,1,1,69
70,73000,28597.800000000003,0.1,10,5,0,0,1,1,70
71,73000,28842.9,0.1,11,5,0,0,1,1,71
72,73000,28968.600000000002,0.1,0,6,0,0,1,1,72
73,73000,29041.000000000004,0.1,1,6,0,0,1,1,73
74,73000,29085.800000000003,0.1,2,6,0,0,1,1,74
75,73000,29126.4,0.1,3,6,0,0,1,1,75
76,73000,29169.100000000002,0.1,4,6,0,0,1,1,76
77,73000,29219.4,0.1,5,6,0,0,1,1,77
78,73000,29327.800000000003,0.1,6,6,0,0,1,1,78
79,73000,29826.700000000004,0.1,7,6,0,0,1,1,79
80,73000,31350.400000000005,0.1,8,6,0,0,1,1,80
81,73000,32712.900000000005,0.1,9,6,0,0,1,1,81
82,73000,33425.90000000001,0.1,10,6,0,0,1,1,82
83,73000,33671.00000000001,0.1,11,6,0,0,1,1,83
84,73000,33796.700000000004,0.1,0,7,0,0,1,1,84
85,73000,33869.100000000006,0.1,1,7,0,0,1,1,85
86,73000,33913.90000000001,0.1,2,7,0,0,1,1,86
87,73000,33954.50000000001,0.1,3,7,0,0,1,1,87
88,73000,33997.200000000004,0.1,4,7,0,0,1,1,88
89,73000,34047.50000000001,0.1,5,7,0,0,1,1,89
90,73000,34155.90000000001,0.1,6,7,0,0,1,1,90
91,73000,34654.80000000001,0.1,7,7,0,0,1,1,91
92,73000,36178.50000000001,0.1,8,7,0,0,1,1,92
93,73000,37541.00000000001,0.1,9,7,0,0,1,1,93
94,73000,38254.00000000001,0.1,10,7,0,0,1,1,94
95,73000,38499.100000000006,0.1,11,7,0,0,1,1,95
96,73000,38624.8,0.1,0,8,0,0,1,1,96
97,73000,38697.200000000004,0.1,1,8,0,0,1,1,97
98,73000,38742.00000000001,0.1,2,8,0,0,1,1,98
99,73000,38782.600000000006,0.1,3,8,0,0,1,1,99
100,73000,38825.3,0.1,4,8,0,0,1,1,100
101,73000,38875.600000000006,0.1,5,8,0,0,1,1,101
102,73000,38984.00000000001,0.1,6,8,0,0,1,1,102
103,73000,39482.90000000001,0.1,7,8,0,0,1,1,103
104,73000,41006.600000000006,0.1,8,8,0,0,1,1,104
105,73000,42369.100000000006,0.1,9,8,0,0,1,1,105
106,73000,43082.100000000006,0.1,10,8,0,0,1,1,106
107,73000,43327.200000000004,0.1,11,8,0,0,1,1,107
108,73000,43452.9,0.1,0,9,0,0,1,1,108
109,73000,43525.3,0.1,1,9,0,0,1,1,109
110,73000,43570.100000000006,0.1,2,9,0,0,1,1,110
111,73000,43610.700000000004,0.1,3,9,0,0,1,1,111
112,73000,43653.4,0.1,4,9,0,0,1,1,112
113,73000,43703.700000000004,0.1,5,9,0,0,1,1,113
114,73000,43812.100000000006,0.1,6,9,0,0,1,1,114
115,73000,44311.00000000001,0.1,7,9,0,0,1,1,115
116,73000,45834.700000000004,0.1,8,9,0,0,1,1,116
117,73000,47197.200000000004,0.1,9,9,0,0,1,1,117
118,73000,47910.200000000004,0.1,10,9,0,0,1,1,118
